OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
22;"Tram";"24";"24";"LINESTRING(4.890813 52.352749,4.890939 52.352785,4.891006 52.352822,4.891048 52.352864,4.891068 52.352922,4.891065 52.353001,4.890989 52.353212,4.890894 52.353472,4.890801 52.353674,4.890718 52.353911,4.890623 52.354138,4.890504 52.354414,4.890402 52.354676,4.890339 52.354848,4.890323 52.354932,4.890331 52.355016,4.89033 52.355087,4.890371 52.355276,4.890452 52.355495,4.890473 52.355601,4.890701 52.357072,4.890748 52.357375,4.890849 52.358033,4.89089 52.358711)";"LINESTRING(52.352749 4.890813,52.352785 4.890939,52.352822 4.891006,52.352864 4.891048,52.352922 4.891068,52.353001 4.891065,52.353212 4.890989,52.353472 4.890894,52.353674 4.890801,52.353911 4.890718,52.354138 4.890623,52.354414 4.890504,52.354676 4.890402,52.354848 4.890339,52.354932 4.890323,52.355016 4.890331,52.355087 4.89033,52.355276 4.890371,52.355495 4.890452,52.355601 4.890473,52.357072 4.890701,52.357375 4.890748,52.358033 4.890849,52.358711 4.89089)";4.8906955;52.35573
23;"Tram";"3 | 12 | 24";"03|12|24";"LINESTRING(4.882724 52.352786,4.883008 52.352685,4.88338 52.35256,4.883631 52.352494,4.884022 52.352411,4.884406 52.352362,4.886153 52.352243,4.886758 52.352231,4.887011 52.352239,4.890813 52.352749)";"LINESTRING(52.352786 4.882724,52.352685 4.883008,52.35256 4.88338,52.352494 4.883631,52.352411 4.884022,52.352362 4.884406,52.352243 4.886153,52.352231 4.886758,52.352239 4.887011,52.352749 4.890813)";4.8867685;52.3525085
24;"Tram";"4 | 12";"04|12";"LINESTRING(4.904905 52.346245,4.904158 52.346137)";"LINESTRING(52.346245 4.904905,52.346137 4.904158)";4.9045315;52.346191
25;"Tram";"4 | 14";"04|14";"LINESTRING(4.893539 52.367109,4.893579 52.367031,4.893608 52.366978,4.893687 52.366912,4.893789 52.366864,4.895753 52.366296,4.895937 52.36626,4.896106 52.366244,4.896573 52.366244,4.897092 52.366246)";"LINESTRING(52.367109 4.893539,52.367031 4.893579,52.366978 4.893608,52.366912 4.893687,52.366864 4.893789,52.366296 4.895753,52.36626 4.895937,52.366244 4.896106,52.366244 4.896573,52.366246 4.897092)";4.8953155;52.3666765
26;"Tram";"26";"26";"LINESTRING(4.898575 52.376966,4.898536 52.377001,4.898504 52.377032,4.89848 52.377069,4.898468 52.377112,4.898468 52.377148,4.898481 52.377193,4.898502 52.377233)";"LINESTRING(52.376966 4.898575,52.377001 4.898536,52.377032 4.898504,52.377069 4.89848,52.377112 4.898468,52.377148 4.898468,52.377193 4.898481,52.377233 4.898502)";4.8985215;52.3770995
27;"Tram";"4 | 14";"04|14";"LINESTRING(4.8981 52.376924,4.898502 52.377233)";"LINESTRING(52.376924 4.8981,52.377233 4.898502)";4.898301;52.3770785
28;"Tram";"4 | 14 | 26";"04|14|26";"LINESTRING(4.898574 52.376967,4.898844 52.376812,4.898931 52.376777,4.899037 52.376753,4.899152 52.376747,4.900396 52.376808,4.901492 52.376924,4.901773 52.37694,4.901898 52.376952,4.901969 52.376972,4.902034 52.376998,4.902086 52.377033,4.902135 52.377081,4.902185 52.377173,4.902245 52.377263)";"LINESTRING(52.376967 4.898574,52.376812 4.898844,52.376777 4.898931,52.376753 4.899037,52.376747 4.899152,52.376808 4.900396,52.376924 4.901492,52.37694 4.901773,52.376952 4.901898,52.376972 4.901969,52.376998 4.902034,52.377033 4.902086,52.377081 4.902135,52.377173 4.902185,52.377263 4.902245)";4.9004095;52.377005
29;"Tram";"4 | 14";"04|14";"LINESTRING(4.8981 52.376924,4.898206 52.376963,4.898254 52.376977,4.898323 52.37699,4.898399 52.376993,4.898472 52.376987,4.898575 52.376966)";"LINESTRING(52.376924 4.8981,52.376963 4.898206,52.376977 4.898254,52.37699 4.898323,52.376993 4.898399,52.376987 4.898472,52.376966 4.898575)";4.8983375;52.3769585
31;"Tram";"14 | 19";"14|19";"LINESTRING(4.923262 52.363478,4.92321 52.363534,4.923114 52.363589,4.923002 52.363615,4.922866 52.363617,4.922761 52.363594,4.922666 52.363552)";"LINESTRING(52.363478 4.923262,52.363534 4.92321,52.363589 4.923114,52.363615 4.923002,52.363617 4.922866,52.363594 4.922761,52.363552 4.922666)";4.922964;52.3635475
32;"Tram";"14 | 19";"14|19";"LINESTRING(4.923262 52.363478,4.923308 52.363389)";"LINESTRING(52.363478 4.923262,52.363389 4.923308)";4.923285;52.3634335
34;"Tram";"19";"19";"LINESTRING(4.923544 52.362867,4.923468 52.362933,4.923401 52.362989,4.923321 52.363034,4.923232 52.36307,4.923129 52.363097,4.923014 52.363113,4.922892 52.363118)";"LINESTRING(52.362867 4.923544,52.362933 4.923468,52.362989 4.923401,52.363034 4.923321,52.36307 4.923232,52.363097 4.923129,52.363113 4.923014,52.363118 4.922892)";4.923218;52.3629925
35;"Tram";"14 | 19";"14|19";"LINESTRING(4.922892 52.363118,4.921627 52.363078,4.921427 52.363085)";"LINESTRING(52.363118 4.922892,52.363078 4.921627,52.363085 4.921427)";4.9221595;52.363098
36;"Tram";"4 | 14 | 26";"04|14|26";"LINESTRING(4.898502 52.377233,4.898678 52.377366,4.898912 52.377528,4.899044 52.377618,4.899246 52.377726,4.899389 52.377801,4.899509 52.377849,4.899599 52.377874,4.899715 52.377891,4.899824 52.377895,4.899931 52.377892,4.900396 52.377854,4.900619 52.377836,4.900787 52.377825,4.901861 52.377691,4.902005 52.377664,4.902177 52.377598)";"LINESTRING(52.377233 4.898502,52.377366 4.898678,52.377528 4.898912,52.377618 4.899044,52.377726 4.899246,52.377801 4.899389,52.377849 4.899509,52.377874 4.899599,52.377891 4.899715,52.377895 4.899824,52.377892 4.899931,52.377854 4.900396,52.377836 4.900619,52.377825 4.900787,52.377691 4.901861,52.377664 4.902005,52.377598 4.902177)";4.9003395;52.377564
